WeatherTime,t-000h,t-006h,t-012h,t-018h,t-024h,t-030h,t-036h,t-042h,t-048h,t-054h,t-060h,t-066h,t-072h,t-078h,t-084h,t-090h,t-096h,t-102h,t-108h,t-114h,t-120h,t-126h,t-132h,t-138h,t-144h,t-150h,t-156h,t-162h,t-168h,t-174h,t-180h,t-186h,t-192h,t-198h
2018-03-22T00:00:00,11.1111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-22T12:00:00,16.6666666667,,16.6666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-23T12:00:00,18.3333333333,,,,18.3333333333,,18.8888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-23T18:00:00,18.3333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-24T12:00:00,23.3333333333,,22.2222222222,21.6666666667,21.6666666667,,,,22.2222222222,,22.7777777778,,,,,,,,,,,,,,,,,,,,,,,
2018-03-25T12:00:00,11.6666666667,,11.6666666667,,12.7777777778,,12.7777777778,13.3333333333,13.3333333333,,,,16.1111111111,,16.6666666667,,,,,,,,,,,,,,,,,,,
2018-03-25T18:00:00,11.6666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-26T12:00:00,12.7777777778,,,12.7777777778,12.7777777778,,12.2222222222,,12.2222222222,,11.6666666667,11.1111111111,11.1111111111,,,,14.4444444444,,14.4444444444,,,,,,,,,,,,,,,
2018-03-27T00:00:00,12.7777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-27T12:00:00,19.4444444444,16.6666666667,16.6666666667,,16.6666666667,,,16.6666666667,16.6666666667,,16.6666666667,,16.1111111111,,16.6666666667,17.2222222222,17.2222222222,,,,18.8888888889,,20,,,,,,,,,,,
2018-03-28T00:00:00,19.4444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-28T12:00:00,27.7777777778,,26.6666666667,,26.6666666667,26.1111111111,26.1111111111,,26.1111111111,,,25.5555555556,25.5555555556,,25.5555555556,,24.4444444444,,23.8888888889,23.8888888889,23.8888888889,,,,24.4444444444,,25,,,,,,,
2018-03-29T00:00:00,27.7777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-29T12:00:00,26.6666666667,28.8888888889,28.8888888889,,28.8888888889,,28.8888888889,,27.7777777778,28.3333333333,28.3333333333,,28.3333333333,,,27.2222222222,27.2222222222,,26.6666666667,,26.6666666667,,26.6666666667,26.6666666667,26.6666666667,,,,27.2222222222,,27.2222222222,,,
2018-03-29T18:00:00,26.6666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-30T12:00:00,23.3333333333,,24.4444444444,24.4444444444,24.4444444444,25,25,,24.4444444444,,24.4444444444,,23.8888888889,24.4444444444,25,,25,,,24.4444444444,24.4444444444,,23.8888888889,,23.3333333333,,23.3333333333,23.3333333333,23.3333333333,,,,,
