WeatherTime,t-000h,t-006h,t-012h,t-018h,t-024h,t-030h,t-036h,t-042h,t-048h,t-054h,t-060h,t-066h,t-072h,t-078h,t-084h,t-090h,t-096h,t-102h,t-108h,t-114h,t-120h,t-126h,t-132h,t-138h,t-144h,t-150h,t-156h,t-162h,t-168h,t-174h,t-180h,t-186h,t-192h,t-198h
2018-03-22T00:00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-22T12:00:00,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-23T00:00:00,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-23T12:00:00,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-24T00:00:00,14,6,6,,,,5,,10,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-24T12:00:00,9,,10,10,10,,,,9,,13,,,,,,,,,,,,,,,,,,,,,,,
2018-03-25T00:00:00,77,,81,,51,51,51,,,,47,,47,,,,,,,,,,,,,,,,,,,,,
2018-03-25T12:00:00,95,,56,,56,,52,52,52,,,,39,,40,,,,,,,,,,,,,,,,,,,
2018-03-26T00:00:00,,11,16,,26,,38,,41,38,38,,,,30,,33,,,,,,,,,,,,,,,,,
2018-03-26T12:00:00,11,,,12,17,,16,,36,,35,34,34,,,,21,,23,,,,,,,,,,,,,,,
2018-03-27T00:00:00,15,,14,,,12,9,,17,,23,,20,11,11,,,,11,,15,,,,,,,,,,,,,
2018-03-27T12:00:00,14,14,14,,14,,,10,7,,9,,9,,12,12,12,,,,7,,9,,,,,,,,,,,
2018-03-28T00:00:00,4,,4,2,6,,6,,,6,4,,6,,6,,9,8,8,,,,5,,7,,,,,,,,,
2018-03-28T12:00:00,0,,3,,3,3,4,,4,,,8,5,,7,,8,,10,6,6,,,,8,,11,,,,,,,
2018-03-29T00:00:00,0,,0,,2,,5,5,6,,6,,,8,8,,8,,8,,10,8,8,,,,4,,11,,,,,
2018-03-29T12:00:00,1,1,1,,7,,20,,6,6,11,,11,,,16,15,,15,,17,,20,17,17,,,,4,,8,,,
2018-03-30T00:00:00,100,83,68,62,62,,80,,61,,68,47,49,,49,,,43,41,,52,,58,,43,43,43,,,,4,,8,
2018-03-30T12:00:00,39,,42,42,67,50,62,,74,,61,,60,68,69,,69,,,66,66,,60,,61,,48,54,54,,,,4,
2018-03-31T00:00:00,,0,0,,0,0,1,1,8,,5,,4,,13,16,26,,26,,,24,16,,10,,18,,12,9,9,,,
2018-03-31T12:00:00,0,0,,0,0,,0,0,0,0,0,,0,,0,,4,4,8,,8,,,10,8,,9,,8,,8,3,3,
2018-04-01T00:00:00,0,0,0,0,,0,0,,0,0,0,0,0,,0,,0,,3,3,6,,6,,,5,5,,3,,3,,8,
2018-04-01T12:00:00,0,0,0,0,0,0,,0,0,,0,0,0,0,0,,2,,2,,4,3,8,,8,,,6,6,,3,,3,
2018-04-02T00:00:00,0,0,0,0,0,0,0,0,,3,3,,2,2,3,3,2,,6,,5,,7,6,8,,8,,,11,11,,3,
2018-04-02T12:00:00,0,,0,1,1,1,1,2,2,2,,4,4,,4,4,7,7,8,,13,,12,,16,9,12,,12,,,23,23,
2018-04-03T00:00:00,1,4,4,,4,1,1,1,1,1,1,1,,5,5,,4,4,6,6,7,,10,,8,,16,11,18,,18,,,55
2018-04-03T12:00:00,2,,2,6,6,,8,9,9,9,6,7,7,8,,9,9,,8,8,9,9,11,,14,,15,,23,16,,,,
2018-04-04T00:00:00,,46,43,,43,41,25,,26,21,21,21,21,28,28,28,,28,28,,32,32,25,25,22,,24,,22,,23,6,,
2018-04-04T12:00:00,1,36,,56,70,,70,56,70,,68,72,72,72,72,70,70,70,,62,62,,60,60,43,43,31,,29,,34,,,
2018-04-05T00:00:00,0,0,0,0,,2,0,,0,4,4,,4,3,3,3,6,11,11,11,,14,14,,15,15,16,16,30,,28,,38,
2018-04-05T12:00:00,0,0,0,0,0,0,,0,0,,0,1,1,,0,0,0,0,0,0,0,0,,6,6,,5,5,12,12,23,,31,
2018-04-06T00:00:00,0,,0,0,0,0,0,0,,0,2,,2,5,5,,0,0,0,0,0,0,0,0,,6,6,,5,5,10,10,17,
