WeatherTime,t-000h,t-006h,t-012h,t-018h,t-024h,t-030h,t-036h,t-042h,t-048h,t-054h,t-060h,t-066h,t-072h,t-078h,t-084h,t-090h,t-096h,t-102h,t-108h,t-114h,t-120h,t-126h,t-132h,t-138h
2018-03-22T00:00:00,0,,,,,,,,,,,,,,,,,,,,,,,
2018-03-22T06:00:00,,0,,,,,,,,,,,,,,,,,,,,,,
2018-03-22T12:00:00,0,,0,,,,,,,,,,,,,,,,,,,,,
2018-03-22T18:00:00,,0,,0,,,,,,,,,,,,,,,,,,,,
2018-03-23T00:00:00,,,0,,0,,,,,,,,,,,,,,,,,,,
2018-03-23T06:00:00,,,,0,,0,,,,,,,,,,,,,,,,,,
2018-03-23T12:00:00,0,,,,0,,0,,,,,,,,,,,,,,,,,
2018-03-23T18:00:00,0,0,,,,0,,0,,,,,,,,,,,,,,,,
2018-03-24T00:00:00,0,0,0,,,,0,,0,,,,,,,,,,,,,,,
2018-03-24T06:00:00,,0,0,0,,,,0,,0,,,,,,,,,,,,,,
2018-03-24T12:00:00,0,,0,0,0,,,,0,,0,,,,,,,,,,,,,
2018-03-24T18:00:00,,0,,0,0,0,,,,0,,0,,,,,,,,,,,,
2018-03-25T00:00:00,0,,0,,0.508,1.27,1.27,,,,1.524,,1.778,,,,,,,,,,,
2018-03-25T06:00:00,,4.064,,4.064,,2.286,2.794,2.794,,,,1.27,,1.524,,,,,,,,,,
2018-03-25T12:00:00,1.016,,1.016,,1.27,,1.27,0,0,,,,1.27,,,,,,,,,,,
2018-03-25T18:00:00,0,0.254,,0.508,,0.508,,0.254,0.508,0.508,,,,1.016,,,,,,,,,,
2018-03-26T00:00:00,,0,0,,0,,0,,0.254,0,0,,,,,,,,,,,,,
2018-03-26T06:00:00,,,0,0,,0,,0,,0.254,0.762,0.762,,,,,,,,,,,,
2018-03-26T12:00:00,0,,,0,0,,0,,0,,0.508,0.508,0.508,,,,,,,,,,,
2018-03-26T18:00:00,,0,,,0,0,,0,,0,,0.254,0.508,0.508,,,,,,,,,,
2018-03-27T00:00:00,0,,0,,,0,0,,0,,0,,0.254,,,,,,,,,,,
2018-03-27T06:00:00,0,0,,0,,,0,0,,0,,0,,0,,,,,,,,,,
2018-03-27T12:00:00,0,0,0,,0,,,0,0,,0,,0,,,,,,,,,,,
2018-03-27T18:00:00,,0,0,0,,0,,,0,0,,0,,0,,,,,,,,,,
2018-03-28T00:00:00,0,,0,0,0,,0,,,0,0,,0,,,,,,,,,,,
2018-03-28T06:00:00,,0,,0,0,0,,0,,,0,0,,0,,,,,,,,,,
2018-03-28T12:00:00,0,,0,,0,0,0,,0,,,0,0,,0,,,,,,,,,
2018-03-28T18:00:00,,0,,0,,0,0,0,,0,,,0,0,,0,,,,,,,,
2018-03-29T00:00:00,0,,0,,0,,0,0,0,,0,,,,,,,,,,,,,
2018-03-29T06:00:00,0,0,,0,,0,,0,0,0,,0,,,,,,,,,,,,
2018-03-29T12:00:00,0,0,0,,0,,0,,0,0,0,,0,,,,,,,,,,,
2018-03-29T18:00:00,0,0,0,0,,0,,0.254,,0,0,0.254,,0.254,,,,,,,,,,
2018-03-30T00:00:00,0,0.254,0,0.254,0.254,,0,,0.254,,0.762,1.016,0.508,,0.508,,,,,,,,,
2018-03-30T06:00:00,,8.636,7.112,7.366,12.7,12.7,,6.858,,4.572,,3.556,3.048,3.302,,3.302,,,,,,,,
2018-03-30T12:00:00,0.254,,0.254,0.254,0.508,0.254,0.254,,3.81,,2.54,,3.81,4.572,,,,,,,,,,
2018-03-30T18:00:00,0,0,,0,0,0,0,0.254,,0,,0.508,,2.286,3.81,,,,,,,,,
2018-03-31T00:00:00,,0,0,,0,0,0,0,0,,0,,0,,0,1.016,,,,,,,,
2018-03-31T06:00:00,0,,0,0,,0,0,0,0,0,,0,,0,,0,0.762,,,,,,,
2018-03-31T12:00:00,0,0,,0,0,,0,0,0,0,0,,0,,0,,,,,,,,,
2018-03-31T18:00:00,0,0,0,,0,0,,0,0,0,0,0,,0,,0,,,,,,,,
2018-04-01T00:00:00,0,0,0,0,,0,0,,0,0,0,0,0,,0,,0,,,,,,,
2018-04-01T06:00:00,0,0,0,0,0,,0,0,,0,0,0,0,0,,0,,0,,,,,,
2018-04-01T12:00:00,0,0,0,0,0,0,,0,0,,0,0,0,0,0,,,,,,,,,
2018-04-01T18:00:00,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,,,,,,,,
2018-04-02T00:00:00,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,,,,,,,
2018-04-02T06:00:00,,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,,,,,,
2018-04-02T12:00:00,0,,0,0,0,0,0,0,0,0,,0,0,,0,0,,,,,,,,
2018-04-02T18:00:00,0,0,,0,0,0,0,0,0,0,0,,0,0,,0,0,,,,,,,
2018-04-03T00:00:00,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,0,0,,,,,,
2018-04-03T06:00:00,,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,0,0,,,,,
2018-04-03T12:00:00,0,,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,
2018-04-03T18:00:00,0,0,,0,0,0,,0,0,0,0,0,0,0,0.508,,,,,,,,,
2018-04-04T00:00:00,,0,0,,0,0,0,,0,0,0,0,0,0.254,0.254,,,,,,,,,
2018-04-04T06:00:00,0.254,,0,0.254,,0.254,0.508,0,,0,0.508,0.508,0.508,0.508,1.27,1.27,,,,,,,,
2018-04-04T12:00:00,0,1.524,,3.048,3.556,,3.556,2.286,1.778,,2.032,3.302,3.302,3.302,3.556,2.794,2.794,,,,,,,
2018-04-04T18:00:00,0,0,0,,0.254,0,,0,0,0,,0.508,2.032,2.032,2.032,1.016,2.286,2.286,,,,,,
2018-04-05T00:00:00,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0,,,,,
2018-04-05T06:00:00,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0,,,,
2018-04-05T12:00:00,0,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,,,,,
2018-04-05T18:00:00,,0,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,,,,
2018-04-06T00:00:00,0,,0,0,0,0,0,0,,0,0,,0,,,,,,,,,,,
2018-04-06T06:00:00,,0,,0,0,0,0,0,0,,0,0,,0,,,,,,,,,,
2018-04-06T12:00:00,0,,0,,0,0,0,0,0,0,,0,,,,,,,,,,,,
2018-04-06T18:00:00,,0,,0,,0,0,0,0,0,0,,0,,,,,,,,,,,
2018-04-07T00:00:00,0,,0,,0,,0,0,0,0,0,0,,,,,,,,,,,,
2018-04-07T06:00:00,,0,,0.254,,0.254,,0,0,0,0,0.254,0,,,,,,,,,,,
2018-04-07T12:00:00,1.27,,4.572,,4.826,,4.572,,3.302,4.064,4.064,2.286,3.048,,,,,,,,,,,
