WeatherTime,t-000h,t-006h,t-012h,t-018h,t-024h,t-030h,t-036h,t-042h,t-048h,t-054h,t-060h,t-066h,t-072h,t-078h,t-084h,t-090h,t-096h,t-102h,t-108h,t-114h,t-120h,t-126h,t-132h,t-138h,t-144h,t-150h,t-156h,t-162h,t-168h,t-174h,t-180h,t-186h,t-192h,t-198h
2018-03-22T00:00:00,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-22T06:00:00,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-22T12:00:00,13.8888888889,,13.8888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-22T18:00:00,,16.6666666667,,16.6666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-23T00:00:00,,,11.1111111111,,12.2222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-23T06:00:00,,,,3.88888888889,,4.44444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-23T12:00:00,14.4444444444,,,,14.4444444444,,15.5555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-23T18:00:00,17.7777777778,18.3333333333,,,,18.3333333333,,18.8888888889,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-24T00:00:00,10,15.5555555556,15.5555555556,,,,15,,15,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-24T06:00:00,,12.7777777778,9.44444444444,9.44444444444,,,,8.88888888889,,8.88888888889,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-24T12:00:00,20,,18.3333333333,18.8888888889,18.8888888889,,,,19.4444444444,,19.4444444444,,,,,,,,,,,,,,,,,,,,,,,
2018-03-24T18:00:00,,23.3333333333,,21.6666666667,21.6666666667,21.6666666667,,,,22.2222222222,,22.7777777778,,,,,,,,,,,,,,,,,,,,,,
2018-03-25T00:00:00,17.2222222222,,18.8888888889,,18.8888888889,18.8888888889,18.8888888889,,,,18.8888888889,,19.4444444444,,,,,,,,,,,,,,,,,,,,,
2018-03-25T06:00:00,,16.1111111111,,16.6666666667,,13.3333333333,13.3333333333,13.3333333333,,,,13.3333333333,,13.3333333333,,,,,,,,,,,,,,,,,,,,
2018-03-25T12:00:00,10,,10,,12.2222222222,,12.2222222222,12.7777777778,12.7777777778,,,,15,,15.5555555556,,,,,,,,,,,,,,,,,,,
2018-03-25T18:00:00,11.1111111111,11.6666666667,,11.6666666667,,12.7777777778,,12.7777777778,13.3333333333,13.3333333333,,,,16.1111111111,,16.6666666667,,,,,,,,,,,,,,,,,,
2018-03-26T00:00:00,,10.5555555556,10,,10,,10.5555555556,,10.5555555556,11.1111111111,11.1111111111,,,,12.7777777778,,13.3333333333,,,,,,,,,,,,,,,,,
2018-03-26T06:00:00,,,8.33333333333,6.66666666667,,6.66666666667,,6.66666666667,,6.66666666667,6.66666666667,6.66666666667,,,,6.66666666667,,7.22222222222,,,,,,,,,,,,,,,,
2018-03-26T12:00:00,11.6666666667,,,11.6666666667,11.6666666667,,11.1111111111,,11.1111111111,,10.5555555556,10,10,,,,12.7777777778,,12.7777777778,,,,,,,,,,,,,,,
