WeatherTime,t-000h,t-006h,t-012h,t-018h,t-024h,t-030h,t-036h,t-042h,t-048h,t-054h,t-060h,t-066h,t-072h,t-078h,t-084h,t-090h,t-096h,t-102h,t-108h,t-114h,t-120h,t-126h,t-132h,t-138h,t-144h,t-150h,t-156h,t-162h,t-168h,t-174h,t-180h,t-186h,t-192h,t-198h
2018-03-22T00:00:00,12.346656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-22T06:00:00,,6.173328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-22T12:00:00,7.71666,,7.71666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-22T18:00:00,,10.28888,,10.28888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-23T00:00:00,,,4.629996,,4.629996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-23T06:00:00,,,,2.57222,,2.57222,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-23T12:00:00,3.086664,,,,3.086664,,3.086664,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-23T18:00:00,3.086664,5.658884,,,,2.57222,,5.658884,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-24T00:00:00,0.514444,2.057776,2.057776,,,,1.543332,,2.57222,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-24T06:00:00,,1.543332,1.543332,1.543332,,,,2.057776,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-24T12:00:00,5.658884,,5.658884,5.658884,5.658884,,,,6.687772,,7.71666,,,,,,,,,,,,,,,,,,,,,,,
2018-03-24T18:00:00,,9.259992,,7.71666,7.71666,7.71666,,,,7.202216,,10.28888,,,,,,,,,,,,,,,,,,,,,,
2018-03-25T00:00:00,6.687772,,8.231104,,5.658884,5.658884,5.658884,,,,4.115552,,5.658884,,,,,,,,,,,,,,,,,,,,,
2018-03-25T06:00:00,,6.687772,,7.202216,,5.14444,5.14444,5.14444,,,,3.601108,,4.115552,,,,,,,,,,,,,,,,,,,,
2018-03-25T12:00:00,7.71666,,7.202216,,7.202216,,5.658884,5.658884,5.658884,,,,5.658884,,6.173328,,,,,,,,,,,,,,,,,,,
2018-03-25T18:00:00,6.687772,,,,,7.71666,,7.71666,7.71666,7.71666,,,,6.687772,,7.202216,,,,,,,,,,,,,,,,,,
2018-03-26T00:00:00,,7.71666,8.745548,,7.71666,,9.259992,,7.71666,8.745548,8.745548,,,,,,7.71666,,,,,,,,,,,,,,,,,
2018-03-26T06:00:00,,,7.202216,9.259992,,8.231104,,9.774436,,8.231104,8.745548,8.745548,,,,,,,,,,,,,,,,,,,,,,
2018-03-26T12:00:00,9.259992,,,10.28888,10.28888,,7.71666,,8.745548,,6.687772,8.231104,8.231104,,,,6.173328,,7.202216,,,,,,,,,,,,,,,
2018-03-26T18:00:00,,8.231104,,,7.202216,7.202216,,6.173328,,7.202216,,6.173328,6.687772,6.687772,,,,5.658884,,6.173328,,,,,,,,,,,,,,
